SplitLayer,Time1,Time2,Time3,Time4
NO_SPLIT,0.11451350303832442,0,0,0
NO_SPLIT,0,0.18155414599459618,1.507,5.0
245,0,0.479890801012516,0.987,4.0
246,0.09029643202666193,0.1534727819962427,1.128,4.0
247,0.07921773905400187,0.15090843092184514,1.185,5.0
248,0.0907210879959166,0.18432138103526086,1.133,4.0
249,0.08746583992615342,0.1451262109912932,1.104,4.0
250,0.08668813400436193,0.16586311405990273,1.136,4.0
251,0.09348218503873795,0.18236798199359328,0.962,4.0
252,0.09110714797861874,0.20752657891716808,1.245,5.0
253,0.12198933202307671,0.19261490204371512,1.225,5.0
254,0.0918663670308888,0.1936160030309111,1.189,4.0
255,0.0775399060221389,0.17686541192233562,1.142,4.0
256,0.08794333890546113,0.13898598600644618,0.892,4.0
257,0.08773114311043173,0.1655590150039643,1.07,5.0
258,0.08755652897525579,0.16981020290404558,1.284,5.0
259,0.10213785106316209,0.18974527006503195,1.181,4.0
260,0.0877502909861505,0.201298434054479,1.28,5.0
261,0.080916479928419,0.19562788400799036,1.205,5.0
262,0.08790841605514288,0.1786930779926479,1.2,5.0
263,0.08856629207730293,0.18247875408269465,1.192,4.0
264,0.08937597298063338,0.18842967005912215,1.185,4.0
265,0.08949381893035024,0.13414606300648302,0.887,5.0
266,0.09030977997463197,0.1111503419233486,1.151,4.0
267,0.09009822504594922,0.1806753110140562,1.211,5.0
268,0.08896015107166022,0.1829132359707728,0.991,4.0
269,0.088443866930902,0.17245359905064106,1.214,4.0
270,0.08778485201764852,0.18326303292997181,1.059,5.0
271,0.08819459099322557,0.11131969303824008,0.874,4.0
272,0.08522221702151,0.09543601504992694,1.158,4.0
273,0.0884962739655748,0.17943348898552358,1.232,4.0
274,0.09313768206629902,0.1771086190128699,1.137,4.0
275,0.08692558691836894,0.17377950996160507,1.08,4.0
276,0.09712870500516146,0.18334445101208985,0.919,4.0
277,0.08820172201376408,0.17189155193045735,1.056,4.0
278,0.09875827108044177,0.09332846791949123,1.161,4.0
279,0.09171450999565423,0.11448368802666664,1.261,4.0
280,0.08725112408865243,0.14826045103836805,1.104,4.0
281,0.08954021194949746,0.09852912405040115,1.196,4.0
282,0.08933117799460888,0.173877751105465,1.124,4.0
283,0.08561619208194315,0.18164919002447277,1.072,4.0
313,0.0759015450021252,0.10315865895245224,1.103,4.0
314,0.0775005699833855,0.10245322505943477,1.018,4.0
