SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,0.5841952462025801,0.0,0.0,0.0,0,0,0,0,0.0,,,,0.31476619079767265,
NO_SPLIT,0.0,1.5858178543974646,2.5408,5.6,0,0.009004016988910735,2457600,0.23273960900405655,0.0,,,,-0.6868564173972118,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.037609901402902324,1.6483861973858438,2.629,5.8,0.04524078299436951,0.024114717030897737,6553600,0.4291385579999769,0.039833829998678995,Conv,896,864,-0.7870346617884934,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.07542509999911999,1.4503047025878915,2.3936,5.4,0.04944976299884729,0.02329273195937276,6553600,0.435577211996133,0.04133645759720821,Conv,320,9312,-0.6267683655867586,0.021072
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.0836418078004499,1.4657784175942652,2.3604,5.4,0.029839332004485186,0.011720302980393171,3276800,0.25439832400297746,0.021955848202924243,Conv,528,608,-0.6504587883944624,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.10962545619986486,1.1648320941952988,2.509,5.6,0.10883727300097235,0.0659940040204674,19660800,1.1614525820041308,0.03875695000315318,Conv,1536,1536,-0.37549611339491085,0.034945
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.11177509960107272,1.179453099600505,2.4432,5.4,0.1252603410030133,0.06650899501983076,19660800,1.1600686879974091,0.03361190579744289,BatchNormalization,384,288,-0.39226676220132495,0.007757
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.12558780180261236,1.1824484182056039,2.4908,5.6,0.13418165299663087,0.07044291804777458,20155392,1.1994529619987588,0.04584736420219997,Pad,0,288,-0.4090747830079635,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.16466025200061268,1.1936201458214781,2.1144000000000003,5.0,0.0519218199988245,0.01742535794619471,4915200,0.35441369299951475,0.05513694200199097,Conv,960,82944,-0.459318960821838,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.16131628299917794,1.2505688835983164,2.0812,5.0,0.013196346000768244,0.004447386018000543,1228800,0.17195619600533973,0.010894720003125257,Conv,2328,2592,-0.5129237295972415,0.016725
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.22655320059711812,1.1887155033880845,2.0347999999999997,5.6,0.011981627998466138,0.005018383031710982,1228800,0.18338992300414247,0.06184113619965501,Add,8952,233232,-0.5163072669849498,0.01319
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.22656997699959902,0.881775805610232,1.8943999999999999,5.0,0.055738970993843395,0.026231450960040092,7372800,0.45940822499687783,0.012402788597682957,Conv,3600,3456,-0.2093843456095783,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.2401952585991239,1.0440144472057,2.0798,5.2,0.05597936699632555,0.02880516101140529,7746048,0.4851031150028575,0.015106801799265667,Pad,0,432,-0.3852482688045711,0.047316
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.25942405800160484,0.9294840367976576,1.8086000000000002,5.6,0.023362522006209474,0.006841632013674825,1843200,0.2010742639977252,0.02401024880236946,Conv,1440,186624,-0.2899466577990095,0.003937
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.2538762477968703,0.7920201592030935,1.653,4.6,0.006601355999009684,0.0015471799997612834,409600,0.14535743799933698,0.005914925801334903,Conv,4640,5040,-0.14693496999971112,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.2800362547975965,0.694571167207323,1.544,4.8,0.006587787996977568,0.001532875990960747,409600,0.1437742519992753,0.031861724201007746,Add,15008,358592,-0.07564598500466668,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.30162112899852217,0.7354344617924653,1.5837999999999999,4.8,0.004587239003740251,0.0014715809957124293,409600,0.14898052899661707,0.0328958177997265,Add,14432,358016,-0.13809415379073475,0.0054
