SplitLayer,TensorLength,OpType,NrParameters,NrFilters,FLOPS,LayerInfTimeEdge,LayerInfTimeCloud
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,204800,Conv,320,32,9312,0.0,0.000222
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,204800,Conv,528,32,608,0.002475,0.000356
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,102400,Conv,1536,16,1536,0.003124,0.000213
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,614400,Conv,384,96,288,0.000948,0.000114
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,614400,BatchNormalization,0,96,288,0,0.0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,629856,Pad,960,96,82944,0.002587,0.0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,153600,Conv,2328,96,2592,0.001877,0.156989
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,38400,Conv,8952,24,233232,0.004673,0.000119
sequential-mobilenetv2_1.00_160-block_2_add-add_0,38400,Add,3600,24,3456,0.006344,0.000593
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,230400,Conv,0,144,432,9e-05,0.0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,242064,Pad,1440,144,186624,0.001293,0.0
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,57600,Conv,4640,144,5040,0.000539,0.158377
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,12800,Conv,15008,32,358592,0.002131,7.8e-05
sequential-mobilenetv2_1.00_160-block_4_add-add_0,12800,Add,14432,32,358016,0.002564,0.000277
sequential-mobilenetv2_1.00_160-block_5_add-add_0,12800,Add,6336,32,6144,0.00217,0.00023
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,76800,Conv,0,192,576,3.6e-05,0.0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,84672,Pad,1920,192,331776,0.000403,0.0
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,19200,Conv,12352,192,12864,0.000252,0.159298
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,6400,Conv,54592,64,1386112,0.000706,4.5e-05
sequential-mobilenetv2_1.00_160-block_7_add-add_0,6400,Add,53440,64,1384960,0.002543,0.000264
sequential-mobilenetv2_1.00_160-block_8_add-add_0,6400,Add,53440,64,1384960,0.002246,0.000206
sequential-mobilenetv2_1.00_160-block_9_add-add_0,6400,Add,24960,64,24576,0.002315,0.000197
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,38400,Conv,3840,384,1328256,2.2e-05,0.0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,38400,Conv,36960,384,38016,0.000383,7.1e-05
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,9600,Conv,118752,96,3111360,0.001446,5.3e-05
sequential-mobilenetv2_1.00_160-block_11_add-add_0,9600,Add,117024,96,3109632,0.004564,0.000456
sequential-mobilenetv2_1.00_160-block_12_add-add_0,9600,Add,55872,96,55296,0.004078,0.000329
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,57600,Conv,0,576,1728,3e-05,0.0
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,69696,Pad,5760,576,2985984,0.000865,0.0
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,14400,Conv,92320,576,93888,0.000303,0.161375
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,4000,Conv,320800,160,8614240,0.000728,4.2e-05
sequential-mobilenetv2_1.00_160-block_14_add-add_0,4000,Add,317920,160,8611360,0.003136,0.000383
sequential-mobilenetv2_1.00_160-block_15_add-add_0,4000,Add,154560,160,153600,0.002654,0.000267
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,24000,Conv,9600,960,8297280,2.3e-05,0.0
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,24000,Conv,307520,960,310080,0.000686,0.000111
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,8000,Conv,409600,320,409600,0.0011,3.9e-05
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,32000,Conv,5120,1280,3840,0.001483,0.000219
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,32000,BatchNormalization,0,1280,35840,0,0.0
sequential-global_average_pooling2d-Mean_0,1280,GlobalAveragePool,1280,1280,1280,0.002046,0.000238
sequential-dense-MatMul_0,1,MatMul,1,1,1,0,0
