SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,0.18767181300208904,0.0,0.0,0.0,0,0,0,0,0.0,,,,0.3858317379912478,
NO_SPLIT,0.0,1.511917906801682,2.3834000000000004,5.2,0,0.008348486000613775,2457600,0.1492921910030418,0.0,,,,-0.9384143558083451,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.032550682401051745,1.362041924596997,2.3422,5.4,0.05870538499584654,0.022867141000460833,6553600,0.22527690899732988,0.02286847140203463,Conv,896,864,-0.8210890560047119,0.006255
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.03192841359996237,1.3213044270014507,2.3066000000000004,5.8,0.06707518099574372,0.02360051700088661,6553600,0.2217260749966954,0.01915012300014496,Conv,320,9312,-0.7797292896080763,0.006429
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.02577975940075703,1.437257886400039,2.295,5.4,0.01903483999922173,0.011034873998141848,3276800,0.1752939419966424,0.015737557598913553,Conv,528,608,-0.889534094807459,0.009087
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.09304948259959929,1.0089165244004108,2.244,5.0,0.442925194001873,0.0659748079997371,19660800,0.5820192400060478,0.07740045559767168,Conv,1536,1536,-0.5284624560066733,0.003602
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.09403326999890851,1.1579269192006905,2.4202000000000004,5.4,0.4834394580029766,0.06588154299970483,19660800,0.5489985990061541,0.05178420899901539,BatchNormalization,384,288,-0.6784566382062622,0.0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.11117011900059878,1.2048823412013008,2.4962,5.4,0.40291815099772066,0.06631351200485369,20155392,0.5349105959976441,0.08891456900018965,Pad,0,288,-0.7425489092085626,0.077804
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.10420359060080955,1.2762271006009542,2.1954000000000002,5.4,0.0349210740023409,0.01707583300594706,4915200,0.18775805900077103,0.029372880602022634,Conv,960,82944,-0.806927140208427,0.0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.09801430320221698,1.072123404602462,1.9040000000000004,5.2,0.008984861000499222,0.004403241000545677,1228800,0.13782740299939178,0.012001890402461867,Conv,2328,2592,-0.596634156811342,0.004219
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.10833819860272342,0.9446881960015162,1.8006,5.0,0.006263804003538098,0.004098075005458668,1228800,0.11655602599785198,0.0152532420004718,Add,8952,233232,-0.4795228436109027,0.015715
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.1291713811995578,0.7430814404011471,1.7126000000000001,5.0,0.06458721299713943,0.024666296994837467,7372800,0.23118008299934445,0.019199955397925805,Conv,3600,3456,-0.298749270607368,0.0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.12836281579948264,0.8835968445971958,1.8992,5.2,0.09038161399803357,0.025583914000890218,7746048,0.22479324400046607,0.02615794140001526,Pad,0,432,-0.4384561094033417,0.018912
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.1289061897972715,0.785117308999179,1.6384,4.8,0.014160840997647028,0.0062488199982908554,1843200,0.14806354900065344,0.009297539398539811,Conv,1440,186624,-0.3405199478031137,0.0
