SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,0.03666800019709626,0.0,0.0,0.0,0,0,0,0,0.0,,,,0.04414613284461666,
NO_SPLIT,0.0,0.16178270540112863,0.9228,4.0,0,0.00034919199970318004,76800,0.08024615600152174,0.0,,,,-0.08096857235941571,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.0021227638018899595,0.1706363789984607,0.945,3.8,0.0010594179984764196,0.0008639780062367208,204800,0.05935101899376605,0.0020953020008164457,Conv,896,864,-0.09194500975863776,0.000245
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.003170361001684796,0.17663911119889236,0.8911999999999999,4.0,0.0018743379987427033,0.0007021560013527051,204800,0.07355908399767941,0.001904732602997683,Conv,320,9312,-0.09899533915886424,0.000293
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.003155196002626326,0.17273287900025025,0.9470000000000001,3.6,0.0010383709959569387,0.0004384119965834543,102400,0.06610842500231229,0.00199897180282278,Conv,528,608,-0.09507394196116364,0.000167
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.005603530595544725,0.17909811100107617,0.9506,4.0,0.0033618879970163107,0.0019083419974776916,614400,0.0922943000041414,0.0022450220014434306,Conv,1536,1536,-0.10388750855490797,8.2e-05
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.006019097802345641,0.18348271080030826,0.9362,4.0,0.0037015859998064116,0.0019167620048392564,614400,0.08451562999835005,0.001823280198732391,BatchNormalization,384,288,-0.10868767556094097,0.0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.006807331602612976,0.17664742139895678,0.9868,4.0,0.0038817179956822656,0.0021714459944632836,629856,0.08692701799736824,0.002204452002479229,Pad,0,288,-0.10264061995985685,0.001792
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.007523175605456345,0.1621524893998867,0.9296000000000001,4.0,0.001535977004095912,0.0005847579959663562,153600,0.07497611500002677,0.0017948463995708154,Conv,960,82944,-0.08886153196363011,0.0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.00656618119974155,0.17720594400161643,0.9613999999999999,4.2,0.0006930170056875795,0.00021164099598536268,38400,0.0562969719976536,0.0018939935995149425,Conv,2328,2592,-0.10295799215964507,0.000102
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.012508021404210012,0.17469918499991763,0.9652000000000001,4.0,0.000552808000065852,0.0002546679970691912,38400,0.07513022299826844,0.0028426268007024193,Add,8952,233232,-0.10639307336241471,0.000445
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.00973899660166353,0.15302848379942588,0.9528000000000001,4.0,0.0017934190036612563,0.0008103990039671771,230400,0.0864768780011218,0.001738193799974397,Conv,3600,3456,-0.08195334735937648,0.0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.008171349398617167,0.15946930200007045,0.9752000000000001,3.8,0.0013757589986198582,0.0009128370002144948,242064,0.08235911899828352,0.0014882330011459998,Pad,0,432,-0.08682651835697469,0.000496
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.010034601396182553,0.14811463519727114,0.9388,3.8,0.0007801810061209835,0.0002823009999701753,57600,0.08166175900259987,0.0016515449970029294,Conv,1440,186624,-0.07733510355174078,0.0
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.008914435797487385,0.1408318952002446,0.9048,4.0,0.0006685299958917312,0.00013812200631946325,12800,0.08238839700061362,0.0015215706007438712,Conv,4640,5040,-0.06893219795601907,6.5e-05
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.011348019599972758,0.15195335720200093,0.9318,3.8,0.00045988599595148116,0.000128491003124509,12800,0.07059560600464465,0.0027602173955528996,Add,15008,358592,-0.08248724376026076,0.000226
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.01033200020174263,0.15933043920231285,0.9468,4.0,0.00041637099639046937,0.00012790199980372563,12800,0.05917432499700226,0.002130179799860343,Add,14432,358016,-0.08884830636234256,0.000175
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.011677457601763308,0.1375344546017004,0.9468,3.8,0.0007468820040230639,0.00036871399788651615,76800,0.06357532000401989,0.0014815854010521434,Conv,6336,6144,-0.0683977791617508,0.0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.014987103200110142,0.15513963360281197,0.9357999999999999,3.8,0.0007115679982234724,0.0003667269993457012,84672,0.0608994049980538,0.001325264795741532,Pad,0,576,-0.0893126037612092,0.00025
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.013983665399427992,0.1378172850003466,0.9516,4.0,0.0004825670039281249,0.0001694230013526976,19200,0.06465682399721118,0.001203067202004604,Conv,1920,331776,-0.07098681735806167,0.0
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.013089661397680174,0.1454102102026809,0.9507999999999999,3.8,0.0003704069968080148,0.00012919899745611474,6400,0.06943030499678571,0.0015284620036254636,Conv,12352,12864,-0.07768573855864816,3.1e-05
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.013878511401708237,0.14890056839940372,0.9405999999999999,3.8,0.0003626550023909658,0.00011706699297064915,6400,0.06118613799480954,0.002556380201713182,Add,54592,1386112,-0.08196494675939903,0.000203
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.014849417601362802,0.11935463480040198,0.8882000000000001,4.0,0.0003767160014831461,0.00012348100426606834,6400,0.0821859060015413,0.0025631006006733514,Add,53440,1384960,-0.05338991936005186,0.000158
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.016592472398770042,0.12042990940099116,0.9084,4.2,0.00036376399657456204,0.0001118300060625188,6400,0.07756793999578804,0.002269540801353287,Add,53440,1384960,-0.05620824875804828,0.000158
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.01775014139857376,0.1257501496002078,0.9092,3.4,0.000506060998304747,0.00021151099645067006,38400,0.07465230399975553,0.0014071764002437704,Conv,24960,24576,-0.06268615795706864,0.0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.017485629199654795,0.14412706680013798,0.9447999999999999,3.6,0.00047402600466739386,0.00020821199723286554,38400,0.08038932300405577,0.0015160628012381495,Conv,3840,1328256,-0.08079856295807986,6.1e-05
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.018362086200795602,0.14265971980057657,0.9384,4.0,0.0004094559990335256,0.00012650300050154328,9600,0.0824235010004486,0.0016628587953164242,Conv,36960,38016,-0.08020767295965925,3.6e-05
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.019353962600871456,0.1097264690004522,0.9148,4.0,0.0003761059997486882,0.00014479599485639483,9600,0.08253464199515292,0.0030796984006883576,Add,118752,3111360,-0.04826629855961073,0.000354
sequential-mobilenetv2_1.00_160-block_12_add-add_0,0.022801285999594256,0.09235574080084916,0.9433999999999999,4.0,0.0003948539961129427,0.00011869300215039402,9600,0.08359602499695029,0.0028041056008078157,Add,117024,3109632,-0.034342893758730494,0.000265
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,0.02392207640077686,0.09948686699935934,0.9208000000000001,4.0,0.0006541140028275549,0.0003522409970173612,57600,0.06118037100532092,0.0016652053993311711,Conv,55872,55296,-0.042594810358423274,0.0
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,0.02490787519927835,0.12564372699853266,0.9385999999999999,4.0,0.000733271001081448,0.0003012710003531538,69696,0.05873187600082019,0.0014396268001291902,Pad,0,1728,-0.06973746915609808,0.000319
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,0.02344025879719993,0.09176957860036054,0.9334,4.0,0.00044374300341587514,0.00015913699462544173,14400,0.05950374199892394,0.001305163197685033,Conv,5760,2985984,-0.034395704355847545,0.0
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,0.025790880199929235,0.11994857359968591,0.8576,4.2,0.00036660899786511436,0.00010587999713607132,4000,0.05857915000524372,0.0018847229992388747,Conv,92320,93888,-0.06492532075790222,3.5e-05
sequential-mobilenetv2_1.00_160-block_14_add-add_0,0.029627141800301616,0.1043926095997449,0.9152000000000001,3.6,0.0003371210041223094,0.00012312499893596396,4000,0.060849603003589436,0.004521492998173926,Add,320800,8614240,-0.053205618358333595,0.000293
sequential-mobilenetv2_1.00_160-block_15_add-add_0,0.03503921460214769,0.10736935159948188,0.9026,3.6,0.0003560979967005551,0.00011754900333471596,4000,0.07192004599346546,0.0038061746017774567,Add,317920,8611360,-0.06159443315991664,0.000221
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,0.032498535999911836,0.0804191251983866,0.8921999999999999,3.6,0.00046916100109228864,0.00025235700013581663,24000,0.07259186000010232,0.0020506668006419204,Conv,154560,153600,-0.032103528156585515,0.0
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,0.033871549800096545,0.09150502819829853,0.9113999999999999,4.0,0.0004612890043063089,0.00017554499936522916,24000,0.06855764400097542,0.0014732431984157302,Conv,9600,8297280,-0.04456244495668216,9e-05
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,0.03455130080255912,0.06170343019766733,0.8612,4.0,0.0004031729986309074,0.00013581600069301203,8000,0.060508424998261034,0.003235998201125767,Conv,307520,310080,-0.015440597958513533,3.5e-05
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,0.04271428159991046,0.0363842021979508,0.8112,4.0,0.000491848993988242,0.00019366700144018978,32000,0.06910650299687404,0.0028307738015428186,Conv,409600,409600,0.0017156492438516607,0.000153
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,0.04166678659967147,0.02307835479878122,0.7764,4.0,0.0005297719981172122,0.0002848549993359484,32000,0.07784418399387505,0.0012645736002014018,BatchNormalization,5120,3840,0.016068991643260228,0.0
sequential-global_average_pooling2d-Mean_0,0.04238612819754053,0.02725967719889013,0.8214,3.2,0.0003914780027116649,0.000100121003924869,1280,0.060384184995200485,0.0011474270009784958,GlobalAveragePool,0,35840,0.011168327645282264,0.000194
sequential-dense-MatMul_0,0.04256133480084827,0.028916870401008054,0.8148,3.8,0.0003753119963221252,8.034500206122175e-05,1,0.07005744700290961,0.001185566998901777,MatMul,1280,1280,0.009335927839856595,0
SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,0.03722667799593182,0,0,0,0,0,0,0,0,,,,0.043201108048378956,
NO_SPLIT,0,0.18620652600657195,1.038,4.0,0,0.00035540200042305514,76800,0.07040119099838194,0,,,,-0.10577873996226117,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.0024004860024433583,0.1684749380001449,0.923,4.0,0.0013249850017018616,0.0007128680008463562,204800,0.08963942799891811,0.0017189450009027496,Conv,896,864,-0.09044763795827748,0.000245
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.0022735400052624755,0.17673394199664472,0.974,4.0,0.0011879509984282777,0.0007343860052060336,204800,0.08798010100144893,0.0018282560049556196,Conv,320,9312,-0.09857969595759641,0.000293
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.003106765005213674,0.18771156800357858,0.976,4.0,0.0009455929975956678,0.0004326389971538447,102400,0.0638982130039949,0.0022633190092165023,Conv,528,608,-0.11039054696448147,0.000167
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.006059962994186208,0.18893627299985383,0.933,4.0,0.0032606099994154647,0.0022078469992266037,614400,0.08521140900120372,0.0024739540021982975,Conv,1536,1536,-0.11456844994972926,8.2e-05
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.005522628998733126,0.20514954999816837,0.968,4.0,0.003989908997027669,0.0019044370055780746,614400,0.07514577000256395,0.0016034459986258298,BatchNormalization,384,288,-0.13024439295259072,0.0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.005427666001196485,0.16947545599396108,1.045,4.0,0.0033292459993390366,0.0019845620045089163,629856,0.08174119499744847,0.0021878920088056475,Pad,0,288,-0.09447533595084678,0.001792
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.00567536100425059,0.17657843200140633,0.932,4.0,0.0012927730058436282,0.0005548789995373227,153600,0.07255687100405339,0.0014939009997760877,Conv,960,82944,-0.10182600696134614,0.0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.007626935999724083,0.1607128389950958,0.939,5.0,0.0006843379960628226,0.000252224002906587,38400,0.0810644970042631,0.0017029410009854473,Conv,2328,2592,-0.08791198895050911,0.000102
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.007420882007863838,0.18726768100168556,0.973,4.0,0.0005860569945070893,0.0002564919996075332,38400,0.060193204997631256,0.0025100960046984255,Add,8952,233232,-0.11426077696523862,0.000445
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.011494106998725329,0.10018356199725531,0.995,4.0,0.0014760240010218695,0.000822015994344838,230400,0.07857017899368657,0.001539607997983694,Conv,3600,3456,-0.03124988295166986,0.0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.008797076996415854,0.17411447899939958,0.969,3.0,0.001716983002552297,0.000859523999679368,242064,0.08087969199550571,0.0015584540087729692,Pad,0,432,-0.10248376995150466,0.000496
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.010318510998331476,0.18038960800186032,0.91,4.0,0.000808230004622601,0.0002769599959719926,57600,0.07915713799593505,0.0016357359927496873,Conv,1440,186624,-0.11028033295588102,0.0
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.010031590005382895,0.1679878249997273,0.948,4.0,0.00043655699846567586,0.00012898400018457323,12800,0.060058445000322536,0.0014256420035962947,Conv,4640,5040,-0.09759162896079943,6.5e-05
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.010763149992271792,0.1703516679990571,0.939,4.0,0.0004732099987450056,0.000160830000822898,12800,0.06045715100481175,0.0024936119953054003,Add,15008,358592,-0.10068703194701811,0.000226
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.009326735002105124,0.1931730000069365,1.001,4.0,0.0004109880028408952,0.00013254499936010689,12800,0.05454062500211876,0.002157949005777482,Add,14432,358016,-0.12207194896473084,0.000175
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.012352992001979146,0.11847056700207759,0.992,4.0,0.0007387209989246912,0.0003364629956195131,76800,0.06806263999897055,0.0013005390064790845,Conv,6336,6144,-0.050395772959745955,0.0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.012442366998584475,0.17566466000425862,0.985,4.0,0.0007161360044847243,0.00042900699918391183,84672,0.07726579199515982,0.0013650809996761382,Pad,0,576,-0.10767924095853232,0.00025
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.01713698499952443,0.1370020550020854,0.876,4.0,0.0005231469986028969,0.00015178499597823247,19200,0.06722411699593067,0.0008872090038494207,Conv,1920,331776,-0.07371125395729905,0.0
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.013046156003838405,0.16503620900039095,0.914,3.0,0.0003977499945904128,0.00010939399362541735,6400,0.07354501300142147,0.001704264992440585,Conv,12352,12864,-0.09765457895991858,3.1e-05
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.014812744004302658,0.1696161319996463,0.999,3.0,0.0003699669978232123,0.00014939900574972853,6400,0.06379836399719352,0.0026180970016866922,Add,54592,1386112,-0.1040010899596382,0.000203
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.012194082999485545,0.10540251800557598,0.936,4.0,0.00039442399429390207,0.00012607600365299731,6400,0.06571609700040426,0.00213465400156565,Add,53440,1384960,-0.03716881496075075,0.000158
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.017471560000558384,0.09545151299971621,0.932,4.0,0.0003645839969976805,0.00011166100011905655,6400,0.06756192399916472,0.0025254020001739264,Add,53440,1384960,-0.03249528695596382,0.000158
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.018165276997024193,0.14538864100177307,0.905,4.0,0.0005128690027049743,0.0002072060015052557,38400,0.06200257900491124,0.0013253530050860718,Conv,24960,24576,-0.08312613195448648,0.0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.018397616004222073,0.14015898399520665,0.913,4.0,0.0005356379988370463,0.00021025999740231782,38400,0.0637557049994939,0.0014628110075136647,Conv,3840,1328256,-0.07812881395511795,6.1e-05
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.016724653003620915,0.10512132199801272,0.943,4.0,0.0004005660011898726,0.00011996799730695784,9600,0.1019446899954346,0.0020234249968780205,Conv,36960,38016,-0.041418188957322855,3.6e-05
