SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,0.5940943803992923,0.0,0.0,0.0,0,0,0,0,0.0,,,,4.19519485760029,
NO_SPLIT,0.0,1.6829773473989917,2.59,5.8,0,0.008730800997000188,2457600,1.3873156270001346,0.0,,,,3.1063118906005913,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.34347476859966264,1.5763127831975,2.6194,5.8,0.1902113370006191,0.023891588003607467,6553600,5.915481065999302,0.1258438117998594,Conv,896,864,2.8695016862024203,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.361320261399851,1.434165090395254,2.4002,5.6,0.19576340300045558,0.023876576000475325,6553600,2.887925320999784,0.142107664600735,Conv,320,9312,2.9938038862044776,0
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.26442166500037273,1.499446357996203,2.4138,5.8,0.11864938500002609,0.011556992991245352,3276800,1.5320234620003248,0.08745573279957171,Conv,528,608,3.025421215003007,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,1.076801976600109,1.226558398400084,2.6195999999999997,5.4,0.9619234310002867,0.06354520800232422,19660800,11.048741337999672,0.31358345139924493,Conv,1536,1536,2.4859288629993896,0
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,1.0339335546006623,1.3277731993992348,2.6996,5.8,1.0318576700001358,0.06779907899908721,19660800,8.415458209999997,0.24676564060027886,BatchNormalization,384,288,2.427582483999686,0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,1.047797260799598,1.1011234753997996,2.4488,5.4,0.9940980970004603,0.07065541599877179,20155392,9.021504459000425,0.40250509139950735,Pad,0,288,2.640368501800185,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.36775942540007234,1.1568838672043058,2.1285999999999996,5.4,0.16562164900005882,0.017339418991468847,4915200,2.2795745370003715,0.1545312557997022,Conv,960,82944,3.2646459453952046,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.26209727879995626,1.2797351790039102,2.1315999999999997,5.2,0.03989094600001408,0.004507438003201969,1228800,0.7369134990003658,0.07060422319937061,Conv,2328,2592,3.2474567801957166,0
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.31607408719992236,1.041438575394568,1.891,5.0,0.03577875800056063,0.00457822899625171,1228800,0.671352033000403,0.2734784201991715,Add,8952,233232,3.4317765754050926,0
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.5393018299995674,0.9914397796004778,1.9952,5.2,0.20071131399981823,0.025142068989225663,7372800,6.026995754999916,0.10055692220030324,Conv,3600,3456,3.258547628399538,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.5653348588000882,1.038930063403677,2.0826000000000002,5.4,0.21449398099957762,0.02741708500252571,7746048,4.410563602000366,0.11836215540006378,Pad,0,432,3.1850243157958174,0
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.3526775465992614,0.8445394087961177,1.7007999999999999,4.8,0.07702319199961494,0.0066509379976196215,1843200,0.8969257600001583,0.06864171539964445,Conv,1440,186624,3.592072282604204,0
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.30543218399998295,0.8969873580004787,1.7349999999999999,4.8,0.01586091499939357,0.0014229930093279108,409600,0.35514689499996166,0.021122479400401063,Conv,4640,5040,3.586869695999121,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.32230200820049504,0.9534669818007387,1.7618000000000003,4.6,0.013156578000234731,0.0014353440055856481,409600,0.4129556660000162,0.10600949280069472,Add,15008,358592,3.513520247998349,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.352199749799729,0.7763963953999337,1.6152000000000002,5.0,0.012213349000376184,0.0015173249994404614,409600,0.40818999000020995,0.13705836779936362,Add,14432,358016,3.66069309279992,0
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.42736069720031084,0.7452728100004606,1.6682,4.6,0.07304004200068448,0.008573227998567745,2457600,1.1601098979999733,0.035697951799193106,Conv,6336,6144,3.6166557307988114,0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.42425620519989027,0.75251618239854,1.6346,4.6,0.0775533030000588,0.009717658002045937,2709504,1.2473434500006988,0.0465603831995395,Pad,0,576,3.6125168504011524,0
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.35465291559939943,0.7559984307998093,1.6098,4.6,0.025611722000576265,0.002189689999795519,614400,0.4805196910001541,0.03200740180109278,Conv,1920,331776,3.678637891600374,0
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.363929815600568,0.6895554646005622,1.5214,4.8,0.009277015000407118,0.0007598710071761161,204800,0.27152962099989963,0.01688357540006109,Conv,12352,12864,3.7358039577984528,0
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.38410902560026444,0.7202774159988621,1.5768,4.8,0.007450203999724181,0.0007677569956285879,204800,0.32061302100009925,0.07871231920053105,Add,54592,1386112,3.6849027964004564,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.3859934915994018,0.6601978146005422,1.4684,4.4,0.015295792999495461,0.0008040980028454214,204800,0.25947099800032447,0.09360520160116721,Add,53440,1384960,3.743097931799639,0
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.41293925139962084,0.6228553032036871,1.4288,4.6,0.01763980200030346,0.0007750649965601042,204800,0.27518721599972196,0.0988606909997543,Add,53440,1384960,3.753494683396275,0
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.454687379200368,0.621226341999136,1.502,4.6,0.05498499300028925,0.004433119000168517,1228800,0.7475080750000416,0.019696678800210067,Conv,24960,24576,3.713375516800079,0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.4683804056001463,0.6392750568018528,1.4978000000000002,4.6,0.032698469999559165,0.0043412060040282086,1228800,0.7010571360005997,0.047362887199233226,Conv,3840,1328256,3.6816337755975836,0
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.4243103754000913,0.5835281698033213,1.393,4.2,0.011496952000015881,0.0011082900018664077,307200,0.32458886099993833,0.034584633400299936,Conv,36960,38016,3.78145069279617,0
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.44211102379940714,0.4985019921994535,1.3252000000000002,4.0,0.010257986000397068,0.0011371930013410747,307200,0.2974793999992471,0.15790672280018042,Add,118752,3111360,3.848676222000722,0
sequential-mobilenetv2_1.00_160-block_12_add-add_0,0.4782542076000027,0.46280383319826796,1.3444,4.6,0.01081853499999852,0.001064726006006822,307200,0.35616466800001945,0.14480760379938146,Add,117024,3109632,3.8482311972013123,0
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,0.5181838868003978,0.28620679559826384,1.1634000000000002,4.2,0.0512859299997217,0.006690845009870827,1843200,0.9277965669998594,0.04866923979971034,Conv,55872,55296,3.984898555600921,0
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,0.5491623537998749,0.32948037299793215,1.1578,4.2,0.07389315399996121,0.00784443000156898,2230272,1.1179460570001538,0.03102284660017176,Pad,0,1728,3.910646511201776,0
