SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,singleLayerInfTimeProf
NO_SPLIT,0.13371758100004172,0.0,0.0,0.0,0,0,0,0,0.0,,,,
NO_SPLIT,0.0,0.17545552700466943,0.9814,4.0,0,0.00033809299929998815,76800,0.3000798919999852,0.0,,,,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.0233643039998924,0.15908124699781184,0.9672000000000001,4.0,0.025183706999996502,0.0007922540098661557,204800,0.3658137700000168,0.023173877600106606,Conv,896,864,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.024990059400010978,0.17222846939694136,0.9663999999999999,4.0,0.008434842000013987,0.0009625700040487573,204800,0.40492112600000496,0.02398143420004999,Conv,320,9312,0
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.02282222180010649,0.17608711880166084,0.9617999999999999,4.0,0.009657864999979893,0.00044539899681694806,102400,0.2558365009999761,0.0241929393999726,Conv,528,608,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.039564257599960226,0.15931627960235345,0.9968,4.2,0.01881114399998296,0.0021839889959665015,614400,0.5570534769999824,0.04872159920009835,Conv,1536,1536,0
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.03908054500002436,0.16996549039613457,0.9794,4.0,0.021693679999998494,0.002176198991946876,614400,0.49483904400000256,0.04303017039990209,BatchNormalization,384,288,0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.04529052860003731,0.1757232350006234,0.952,3.8,0.05816598600000589,0.002186634999816306,629856,0.5903927039999814,0.04143254059997616,Pad,0,288,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.028165793599976043,0.1776188669988187,0.9872,4.0,0.010537638000016614,0.0006100519967731088,153600,0.284229033999992,0.03284707060010987,Conv,960,82944,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.029399844999943525,0.16249429819872602,0.9716000000000001,4.0,0.004734608000006801,0.00023117299133446068,38400,0.21310526599998525,0.021000206799976696,Conv,2328,2592,0
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.02842892900004017,0.1405449565994786,0.9501999999999999,4.0,0.0029238459999874067,0.0002224670024588704,38400,0.31863477699999976,0.015834917800020776,Add,8952,233232,0
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.03406333439994569,0.15511904659797437,0.8907999999999999,3.8,0.009669750000000477,0.0008663339976919815,230400,0.28631074699995906,0.020884515199963972,Conv,3600,3456,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.03805377760000965,0.16187879999633878,0.9762000000000001,3.8,0.010520072000019809,0.000985432998277247,242064,0.30651545200004193,0.027725499400048648,Pad,0,432,0
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.03288624800006801,0.14942809519707226,0.9388,4.0,0.00932100300002503,0.00028965200181119144,57600,0.2631829590000052,0.022793391599952882,Conv,1440,186624,0
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.025008659000002355,0.14334465060092044,0.9585999999999999,4.0,0.0025768410000068798,0.0001338400034001097,12800,0.18209898200001362,0.017831357999966713,Conv,4640,5040,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.038031482199937724,0.14773480699805078,0.9908000000000001,4.2,0.01549004500003548,0.00014561800344381481,12800,0.2926836420000427,0.012507704200038461,Add,15008,358592,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.033556897200037385,0.16076808979560156,0.9221999999999999,4.0,0.0032866629999830366,0.00015204399824142456,12800,0.2510448580000002,0.01289870599994174,Add,14432,358016,0
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.042416383800070886,0.1498761258000741,0.9178,3.8,0.01589004799996019,0.00033536399132572114,76800,0.26841876400004594,0.014970779200075413,Conv,6336,6144,0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.047416265800029576,0.14147351220017299,0.9635999999999999,4.0,0.0037523149999856287,0.0003603859950089827,84672,0.24044199600001548,0.020646134599996913,Pad,0,576,0
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.0471421687999964,0.15746880239457822,0.9538,3.8,0.00315734599996631,0.00016278200200758874,19200,0.18895068199998377,0.01364755960007642,Conv,1920,331776,0
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.03989113840016216,0.125727866802481,0.908,4.0,0.0012831980000100884,0.00011114099470432848,6400,0.21907968300001812,0.019864175800103114,Conv,12352,12864,0
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.04536439920019575,0.1584311418031575,0.9666,3.8,0.001938945999995667,0.00012055398838128895,6400,0.17344432000004417,0.013912964599921907,Add,54592,1386112,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.05605008759989687,0.1310456453997176,0.9728,4.0,0.007144312000036734,0.00012292499013710767,6400,0.22743559499997446,0.01387254600003871,Add,53440,1384960,0
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.05916139299997667,0.12005120620015078,0.9612,4.0,0.02081424400000742,0.00011062200064770877,6400,0.3048249370000349,0.012713093199886316,Add,53440,1384960,0
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.07004146440008299,0.13031009120168163,0.9922000000000001,4.0,0.007906504000004588,0.00021097800345160067,38400,0.24704102799995553,0.016747260000056486,Conv,24960,24576,0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.08530121519994509,0.10041615580266808,0.9544,4.0,0.0037808339999969576,0.00024883200239855796,38400,0.20669016400000828,0.021639946600112127,Conv,3840,1328256,0
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.06575822740006743,0.09072236820065882,0.8478,4.0,0.00175579500000822,0.00011957000242546201,9600,0.16082976299998109,0.015345473599973047,Conv,36960,38016,0
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.07753452539992622,0.08990629559848458,0.9460000000000001,3.8,0.002433709000001727,0.0001220580015797168,9600,0.2238069069999824,0.013395512000010967,Add,118752,3111360,0
sequential-mobilenetv2_1.00_160-block_12_add-add_0,0.11882839499996863,0.11300228020118083,0.9356,4.0,0.0020485020000364784,0.00013637599477078766,9600,0.21087622300001385,0.014303185000107988,Add,117024,3109632,0
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,0.09599581039985879,0.11136575839482248,0.9426,3.8,0.0054354800000169234,0.0003189979906892404,57600,0.33719067999999197,0.022473691000118378,Conv,55872,55296,0
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,0.10222136540006659,0.1015534206002485,0.9421999999999999,4.0,0.006434674999979961,0.0003245289990445599,69696,0.20224006199998712,0.016875852399903125,Pad,0,1728,0
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,0.10847447079992208,0.10577051519940142,0.9342,4.0,0.0016815349999887985,0.0001412050041835755,14400,0.19963629599999422,0.012831550999976571,Conv,5760,2985984,0
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,0.12159459400000969,0.0979517380008474,0.9612,4.0,0.0011489930000152526,0.00010571599705144763,4000,0.2179109760000415,0.017415754800163087,Conv,92320,93888,0
sequential-mobilenetv2_1.00_160-block_14_add-add_0,0.12246078819995318,0.08715431299933699,0.9427999999999999,4.0,0.001735220999989906,0.00010961000225506723,4000,0.20660978999995905,0.015244521399858968,Add,320800,8614240,0
sequential-mobilenetv2_1.00_160-block_15_add-add_0,0.15125918020019072,0.08961918020504527,0.9342,4.0,0.0011939190000020972,0.00010828500671777874,4000,0.18555910099996709,0.013725373400006902,Add,317920,8611360,0
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,0.1545314645999838,0.0874767180037452,0.9427999999999999,4.0,0.0043465800000035415,0.0001728959905449301,24000,0.19762175699997897,0.016654668999876776,Conv,154560,153600,0
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,0.15319981119989734,0.08893386339768768,0.9202,4.2,0.003654535999999098,0.00017570499039720744,24000,0.20052971200004777,0.010613456799865162,Conv,9600,8297280,0
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,0.1653741241999569,0.07202999299915973,0.8658000000000001,4.0,0.0021880040000041845,0.00011207300121895969,8000,0.1805469199999834,0.02135011419998136,Conv,307520,310080,0
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,0.18525689020009395,0.03806708499614615,0.8211999999999999,3.6,0.0032681799999636496,0.0001948709978023544,32000,0.20480006800005413,0.02344632159995399,Conv,409600,409600,0
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,0.17064591559994824,0.03643887179787271,0.8109999999999999,4.0,0.0024797469999384703,0.00020168900664430112,32000,0.22591868500001056,0.011405619400011346,BatchNormalization,5120,3840,0
sequential-global_average_pooling2d-Mean_0,0.17861276900000575,0.04885327399824746,0.8092,3.8,0.0071282930000506894,9.004000457935035e-05,1280,0.18841598000005888,0.013918014199953177,GlobalAveragePool,0,35840,0
sequential-dense-MatMul_0,0.17625528699995813,0.036064565801643765,0.8400000000000001,4.0,0.001042659000063395,8.593499660491943e-05,1,0.1677974980000272,0.010072009200030152,MatMul,1280,1280,0
