SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,2.11531447740017,0.0,0.0,0.0,0,0,0,0,0.0,,,,2.1915179455978433,
NO_SPLIT,0.0,1.4009524575987597,2.2798,5.2,0,0.008335013000760227,2457600,1.1610600399999385,0.0,,,,2.9058799653992535,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.15330861400025242,1.5276605721999659,2.5044,5.6,0.20536264799966375,0.022828721994301304,6553600,2.8854073170000447,0.13871658059997571,Conv,896,864,2.6258632367977954,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.2462112372001684,1.4945716614020057,2.4962,5.6,0.18835863599997538,0.022736801009159535,6553600,2.941318092999609,0.13245674040044833,Conv,320,9312,2.566049524395839,0
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.27100301700011187,1.3345882512046956,2.2114000000000003,5.4,0.10441799699992771,0.011705683005857281,3276800,1.5272301019999759,0.0960635130004448,Conv,528,608,2.7012411547932063,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.5289526863999526,1.245895855195704,2.6020000000000003,5.8,0.9584362299997338,0.06551937499898486,19660800,10.543397681999977,0.29114773099991,Conv,1536,1536,2.5319838814023568,0
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.6114211233999413,1.3243816019996302,2.6624,5.8,0.9837761989997489,0.0658065390016418,19660800,8.193607766000241,0.27134369860013974,BatchNormalization,384,288,2.371029697598442,0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.8096519071997136,1.4176820533990395,2.7359999999999998,5.2,0.9897573750004085,0.06669031199999154,20155392,11.361918242999764,0.4714467100000547,Pad,0,288,2.0794984623992603,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.8075964283997564,0.9982100477995118,1.9497999999999998,5.2,0.18328751699982604,0.016798288008430973,4915200,2.231291536000299,0.17158525439990627,Conv,960,82944,2.5010259467987455,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.789488125600019,1.1862810791993978,1.9663999999999997,5.0,0.06221741599983943,0.004264196002623066,1228800,0.7665023580002526,0.06432904779994715,Conv,2328,2592,2.3310632181985964,0
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.9936629634001293,0.983849510998698,1.8182000000000003,4.6,0.03746718899992629,0.004218685993691906,1228800,0.7013093089999529,0.2450130283996259,Add,8952,233232,2.3293199485991862,0
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,1.0816498777999186,0.8130834584007971,1.8774000000000002,5.0,0.21387822999986383,0.02555594099976588,7372800,3.301120003000051,0.08967508659970917,Conv,3600,3456,2.412099086797298,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,1.0992818348000584,1.0795413067971822,2.1328,5.4,0.233084491000227,0.02685775600548368,7746048,3.3814521020003667,0.08837970260010479,Pad,0,432,2.128009281400773,0
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,1.1354597257999557,0.7160076316009508,1.599,4.6,0.05444854100005614,0.0062901390047045425,1843200,0.9962698729996191,0.08114896440038137,Conv,1440,186624,2.455365065597107,0
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,1.1461240119997456,1.0164328071987256,1.8343999999999998,5.0,0.017191855999953987,0.0015212540020002052,409600,0.41089861299951735,0.030493196999850626,Conv,4640,5040,2.1442756037995423,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,1.1903334674003418,0.8257709496014286,1.623,4.8,0.01367060600023251,0.0015081900055520236,409600,0.36044683100044494,0.11619323199993233,Add,15008,358592,2.290728005996243,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,1.2641797667998618,0.8370227134029846,1.6456,4.4,0.013106819999848085,0.0015244179958244786,409600,1.001962385999832,0.13049356139981683,Add,14432,358016,2.2056299427951673,0
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,1.313601521400051,0.6830707669985714,1.5176,4.4,0.08983313599946996,0.00863445398863405,2457600,1.2568634780000139,0.030899454000245897,Conv,6336,6144,2.310160134599391,0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,1.317896228400241,0.7960860368038993,1.6696000000000002,4.6,0.11550161800005299,0.009793821998755448,2709504,1.2591827059995921,0.02920084260003932,Pad,0,576,2.192850157793873,0
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,1.3359593399996812,0.691815999802202,1.5352,4.6,0.022178008000082627,0.0020643669995479286,614400,0.4881866940004329,0.031454012800350026,Conv,1920,331776,2.2790570831961303,0
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,1.3158144828001241,0.731484098805231,1.55,4.6,0.007576889000119991,0.0008222139877034351,204800,0.5249125480004295,0.022256184399520863,Conv,12352,12864,2.2595338413926584,0
sequential-mobilenetv2_1.00_160-block_7_add-add_0,1.4103324522004186,0.6238882794015808,1.478,4.2,0.007510710000133258,0.0008220859890570864,204800,0.8054975080003715,0.10630178899973544,Add,54592,1386112,2.272611691396014,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,1.4362008129999595,0.673081109195482,1.5,4.4,0.009065642000678054,0.0007579810044262558,204800,0.2982439119996343,0.09648365519969956,Add,53440,1384960,2.197550500802572,0
sequential-mobilenetv2_1.00_160-block_9_add-add_0,1.5394295791998958,0.7395042274001753,1.5998,4.6,0.010651724000126706,0.0007836599979782477,204800,0.29137526100021205,0.09028236879967153,Add,53440,1384960,2.0278986163979424,0
