SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,singleLayerInfTimeProf
NO_SPLIT,0.21370028579990502,0.0,0.0,0.0,0,0,0,0,0.0,,,,
NO_SPLIT,0.0,0.16451202580065,1.0564,4.4,0,0.00040443000034429133,76800,0.25577404999989994,0.0,,,,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.009909333999985392,0.17254300359927582,0.9710000000000001,4.0,0.009756024000125763,0.0008182149977074005,204800,0.3648540880001292,0.007458737200067844,Conv,896,864,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.014202244199850611,0.16488434699567733,0.9434000000000001,4.0,0.007099667999909798,0.0009294249975937419,204800,0.28801199800000177,0.010430466800107752,Conv,320,9312,0
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.012718985199944655,0.16700075620028657,0.9673999999999999,4.0,0.0069224270000631805,0.0005520780032384209,102400,0.2920448469999428,0.009904020200110608,Conv,528,608,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.023175515399998403,0.17598137780005346,0.9480000000000001,4.2,0.018844608000108565,0.0022052739950595424,614400,0.5296562119999635,0.010131806400113418,Conv,1536,1536,0
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.02660146940006598,0.1630662151990691,0.9334,4.0,0.02430893200016726,0.0020861079974565655,614400,0.5196183190000738,0.010399693399904208,BatchNormalization,384,288,0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.035669811799971286,0.1536787892007851,0.959,4.0,0.028809038999952463,0.002267119001771789,629856,0.6704701620001288,0.014273581999850649,Pad,0,288,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.03308482940001341,0.15787188260292168,1.0075999999999998,4.0,0.015505290999954013,0.0006077250000089407,153600,0.26793839599986313,0.011741856399885365,Conv,960,82944,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.033982450399889785,0.16683096820197535,0.9596,4.0,0.0043968289999156696,0.00022336199617711827,38400,0.21249377100002675,0.0044807776001107415,Conv,2328,2592,0
