SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,singleLayerInfTimeProf,ErrorPercentage,AbsErrorPercentage,TotalTime
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.00212276380189,0.170636378998461,0.945,3.8,0.001059417998476,0.000863978006237,204800,0.059351018993766,0.002095302000816,Conv,896,864,0.000245,-0.884584427253814,0.884584427253814,0.172759142800351
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.003170361001685,0.176639111198892,0.8912,4,0.001874337998743,0.000702156001353,204800,0.073559083997679,0.001904732602998,Conv,320,9312,0.000293,-0.830303236850915,0.830303236850915,0.179809472200577
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.003155196002626,0.17273287900025,0.947,3.6,0.001038370995957,0.000438411996583,102400,0.066108425002312,0.001998971802823,Conv,528,608,0.000167,-0.776559047547864,0.776559047547864,0.175888075002876
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.005603530595545,0.179098111001076,0.9506,4,0.003361887997016,0.001908341997478,614400,0.092294300004141,0.002245022001443,Conv,1536,1536,8.2E-05,-0.859552832525671,0.859552832525671,0.184701641596621
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.006019097802346,0.183482710800308,0.9362,4,0.003701585999806,0.001916762004839,614400,0.08451562999835,0.001823280198732,BatchNormalization,384,288,0,-0.869249507842636,0.869249507842636,0.189501808602654
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.006807331602613,0.176647421398957,0.9868,4,0.003881717995682,0.002171445994463,629856,0.086927017997368,0.002204452002479,Pad,0,288,0.001792,-0.621143768138156,0.621143768138156,0.18345475300157
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.007523175605456,0.162152489399887,0.9296,4,0.001535977004096,0.000584757995966,153600,0.074976115000027,0.001794846399571,Conv,960,82944,0,-0.657192635762812,0.657192635762812,0.169675665005343
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.006566181199742,0.177205944001616,0.9614,4.2,0.000693017005688,0.000211640995985,38400,0.056296971997654,0.001893993599515,Conv,2328,2592,0.000102,-0.59169570280736,0.59169570280736,0.183772125201358
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.01250802140421,0.174699184999918,0.9652,4,0.000552808000066,0.000254667997069,38400,0.075130222998268,0.002842626800702,Add,8952,233232,0.000445,-0.750080376505605,0.750080376505605,0.187207206404128
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.009738996601664,0.153028483799426,0.9528,4,0.001793419003661,0.000810399003967,230400,0.086476878001122,0.001738193799974,Conv,3600,3456,0,-0.679022374906051,0.679022374906051,0.16276748040109
