SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,singleLayerInfTimeProf,ErrorPercentage,AbsErrorPercentage,TotalTime
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.032550682401052,1.362041924597,2.3422,5.4,0.058705384995847,0.022867141000461,6553600,0.22527690899733,0.022868471402035,Conv,896,864,0.006255,-0.807838129998838,0.807838129998838,1.39459260699805
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.031928413599962,1.32130442700145,2.3066,5.8,0.067075180995744,0.023600517000887,6553600,0.221726074996695,0.019150123000145,Conv,320,9312,0.006429,-0.602736291288367,0.602736291288367,1.35323284060141
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.025779759400757,1.43725788640004,2.295,5.4,0.019034839999222,0.011034873998142,3276800,0.175293941996642,0.015737557598914,Conv,528,608,0.009087,-0.155500264313533,0.155500264313533,1.4630376458008
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.093049482599599,1.00891652440041,2.244,5,0.442925194001873,0.065974807999737,19660800,0.582019240006048,0.077400455597672,Conv,1536,1536,0.003602,-0.727317129648292,0.727317129648292,1.10196600700001
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.094033269998909,1.15792691920069,2.4202,5.4,0.483439458002977,0.065881542999705,19660800,0.548998599006154,0.051784208999015,BatchNormalization,384,288,0,-0.730169970689156,0.730169970689156,1.2519601891996
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.111170119000599,1.2048823412013,2.4962,5.4,0.402918150997721,0.066313512004854,20155392,0.534910595997644,0.08891456900019,Pad,0,288,0.077804,-0.071899887060083,0.071899887060083,1.3160524602019
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.10420359060081,1.27622710060095,2.1954,5.4,0.034921074002341,0.017075833005947,4915200,0.187758059000771,0.029372880602023,Conv,960,82944,0,-0.009851777610454,0.009851777610454,1.38043069120176
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.098014303202217,1.07212340460246,1.904,5.2,0.008984861000499,0.004403241000546,1228800,0.137827402999392,0.012001890402462,Conv,2328,2592,0.004219,0.095717629889459,0.095717629889459,1.17013770780468
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.108338198602723,0.944688196001516,1.8006,5,0.006263804003538,0.004098075005459,1228800,0.116556025997852,0.015253242000472,Add,8952,233232,0.015715,0.136358196719229,0.136358196719229,1.05302639460424
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.129171381199558,0.743081440401147,1.7126,5,0.064587212997139,0.024666296994838,7372800,0.231180082999344,0.019199955397926,Conv,3600,3456,0,-0.046917367789041,0.046917367789041,0.872252821600705
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.128362815799483,0.883596844597196,1.8992,5.2,0.090381613998034,0.02558391400089,7746048,0.224793244000466,0.026157941400015,Pad,0,432,0.018912,0.106418545864994,0.106418545864994,1.01195966039668
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.128906189797271,0.785117308999179,1.6384,4.8,0.014160840997647,0.006248819998291,1843200,0.148063549000653,0.00929753939854,Conv,1440,186624,0,0.101754696367627,0.101754696367627,0.91402349879645
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.132741030400211,0.786125105200335,1.6136,4.6,0.003534745999787,0.001539687000331,409600,0.097461489000125,0.004808460600907,Conv,4640,5040,0.001784,0.083365102458715,0.083365102458715,0.918866135600546
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.133810227199865,0.6524904357997,1.4948,4.2,0.002190246996179,0.001395381004841,409600,0.101053038997634,0.007706651798799,Add,15008,358592,0.005581,0.116416907183539,0.116416907183539,0.786300662999565
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.146584953599086,0.779067108598247,1.61,4.6,0.002529110002797,0.001407392002875,409600,0.106294561002869,0.006609005402424,Add,14432,358016,0.0043,0.048456858814726,0.048456858814726,0.925652062197333
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.138004510602332,0.640209696798411,1.4732,5,0.013188734003052,0.008456889001536,2457600,0.154215085996839,0.007699237401539,Conv,6336,6144,0,0.113644759357619,0.113644759357619,0.778214207400743
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.145759368602012,0.723335075199429,1.5904,5,0.015792430000147,0.009243275999324,2709504,0.183093405998079,0.007593289400393,Pad,0,576,0.00801,0.109348932770884,0.109348932770884,0.869094443801441
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.149203562797629,0.575389369402546,1.3994,4.4,0.004172282999207,0.002033003001998,614400,0.11597093599994,0.004428637197998,Conv,1920,331776,0,0.083740877014564,0.083740877014564,0.724592932200175
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.127152913797181,0.575197304601897,1.3796,4.2,0.001590664003743,0.000811956000689,204800,0.077580340999703,0.003174173401203,Conv,12352,12864,0.000629,0.276628235660603,0.276628235660603,0.702350218399078
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.150244500002009,0.554049752198625,1.3938,4.4,0.001100150999264,0.000823119000415,204800,0.094332400993153,0.006250847599586,Add,54592,1386112,0.004284,0.108932440107772,0.108932440107772,0.704294252200634
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.140915280999616,0.533616586199787,1.3644,4.2,0.001422964996891,0.000741155003197,204800,0.095795982997515,0.005363197196857,Add,53440,1384960,0.003562,0.207626304208014,0.207626304208014,0.674531867199403
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.154177490000438,0.604274959000759,1.422,4.8,0.001249191998795,0.000756900000852,204800,0.090805560997978,0.005538598197745,Add,53440,1384960,0.003514,0.126539289227672,0.126539289227672,0.758452449001197
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.163124275203154,0.564003307202074,1.3718,4.2,0.005923274999077,0.0042106769979,1228800,0.118043029004184,0.004537627995887,Conv,24960,24576,0,0.064752623628159,0.064752623628159,0.727127582405228
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.165030864997243,0.425526806002017,1.2206,4.2,0.007721740003035,0.004076648001501,1228800,0.132471824996173,0.004586178599857,Conv,3840,1328256,0.001424,0.061080301572226,0.061080301572226,0.59055767099926
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.160987674999342,0.644383587200718,1.4364,4.4,0.002505492004275,0.00109038699884,307200,0.098740085995814,0.005186285599484,Conv,36960,38016,0.000573,0.091288510134195,0.091288510134195,0.80537126220006
