SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,singleLayerInfTime,OpType,NrParameters,FLOPS
NO_SPLIT,2.5492600340003264,0,0,0,0,0,0,0,,,
NO_SPLIT,0,0.02897228702204302,2.635,6.0,0.0010782469998957822,8.171901572495699e-05,1,0,,,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0,1.6837610939983279,2.171,5.0,0,0.00913775700610131,2457600,0.2044056830000045,Conv,320,9312
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.26346365400013383,1.3378777489997447,2.463,5.0,0.21256838499994046,0.02362936199642718,6553600,0.11012235800035342,Conv,528,608
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.35161203400002705,1.4509297590120696,2.018,6.0,0.19812626599969008,0.023045765003189445,6553600,0.29979758600029527,Conv,1536,1536
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.38642092000009143,1.1557214059866965,2.383,6.0,0.11413888900005986,0.012481671990826726,3276800,0.3264616080000451,Conv,384,288
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.7021840130000783,0.9461173680028878,2.266,6.0,0.8808848640001088,0.0687524940003641,19660800,0.48563490200012893,BatchNormalization,0,288
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.7405343309997079,1.0030820049578324,2.516,6.0,0.9679065529999207,0.06885516899637878,19660800,0.16048301700038792,Pad,960,82944
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.9313285939997513,1.1053707459941506,1.84,5.0,0.9680426800000532,0.07444577000569552,20155392,0.06757511800014981,Conv,2328,2592
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.909483888000068,0.8669871509773657,1.572,4.0,0.15448397000000114,0.017301165033131838,4915200,0.27980444200011334,Conv,8952,233232
