SplitLayer,Time1,Time2,Time3
sequential-conv2d-BiasAdd__6_0,0.007605824968777597,0.005937199981417507,0.71
sequential-conv2d-BiasAdd_0,0.01057772000785917,0.0735630170092918,0.803
sequential-conv2d-Relu_0,0.007711953017860651,0.011192099016625434,0.818
sequential-average_pooling2d-AvgPool_0,0.006905360030941665,0.01100053999107331,0.86
sequential-conv2d_1-BiasAdd_0,0.007694351952522993,0.010622689966112375,0.817
sequential-conv2d_1-Relu_0,0.006250586011447012,0.010879979992751032,0.778
sequential-average_pooling2d_1-AvgPool_0,0.008213787979912013,0.007906937971711159,0.847
sequential-average_pooling2d_1-AvgPool__20_0,0.006544731033500284,0.009965211036615074,0.765
sequential-flatten-Reshape_0,0.019621199986431748,0.009560270002111793,0.82
sequential-dense-MatMul_0,0.006273588980548084,0.008999663987196982,0.797
sequential-dense-BiasAdd_0,0.011156145017594099,0.00859747501090169,0.808
sequential-dense-Relu_0,0.009472613979596645,0.006284016999416053,0.686
sequential-dense_1-MatMul_0,0.010658100014552474,0.006013887992594391,0.848
sequential-dense_1-BiasAdd_0,0.012395968020427972,0.007715438026934862,0.788
sequential-dense_1-Relu_0,0.010030489007476717,0.005833667004480958,0.764
sequential-dense_2-MatMul_0,0.010386859998106956,0.00749160599661991,0.74
sequential-dense_2-BiasAdd_0,0.012591394013725221,0.009359140996821225,0.744
